Element,A,Z,Iso,Spin,Maxw.(n-g),error,(n-g),error,(n-el),error,(n-a),error,(n-p),error,(n-f),error,Iso
Hg,198,80,0,0+,2.0,0.3,,,9.50,0.6,,,,,,,Hg198
Hg,199,80,0,1/2-,,,2150,48,66.6,2.0,,,,,,,Hg199
Hg,200,80,0,0+,15,,,,,,,,,,,,Hg200
Hg,201,80,0,3/2-,,,4.9,0.6,,,,,,,,,Hg201
Hg,202,80,0,0+,,,4.91,0.05,,,,,,,,,Hg202
Hg,204,80,0,0+,0.43,0.10,,,,,,,,,,,Hg204
Tl,203,81,0,1/2+,,,11.4,0.2,9.91,0.17,28.5e-3,,,,,,Tl203
Tl,204,81,0,2-,21.6,2.0,,,,,,,,,,,Tl204
Tl,205,81,0,1/2+,0.104,0.017,,,10.06,0.16,,,,,,,Tl205
Pb,204,82,0,0+,,,0.703,0.035,12.48,0.25,,,,,,,Pb204
Pb,206,82,0,0+,,,2.79e-2,0.6e-3,10.86,0.11,,,,,,,Pb206
Pb,207,82,0,1/2-,,,0.647,9e-3,,,,,,,,,Pb207
Pb,208,82,0,0+,,,2.3e-4,2e-5,11.50,0.15,,,,,,,Pb208
Pb,210,82,0,,0.5,0.5,,,,,,,,,,,Pb210
Bi,209,83,0,9/2-,,,0.0396,1.1e-3,9.314,0.004,3e-7,,,,,,Bi209
Bi,210,83,1,,5.4e-2,5e-3,,,,,,,,,,,Bi210m
Po,210,84,0,,3.5e-2,,,,,,2e-3,,,,,,Po210
Rn,220,86,0,,0.2,,,,,,,,,,,,Rn220
Rn,222,86,0,,0.72,0.07,,,,,,,,,,,Rn222
Ra,223,88,0,,130,20,,,,,,,,,0.7,0.3,Ra223
Ra,224,88,0,,12.0,0.5,,,,,,,,,,,Ra224
Ra,226,88,0,0+,,,13.7,0.7,9.8.,0.3,,,,,5e-5,,Ra226
Ra,228,88,0,,36,5,,,,,,,,,2,,Ra228
Ac,227,89,0,,890,30,,,,,,,,,2.9e-4,,Ac227
Th,227,90,0,,,,,,,,,,,,202,13,Th227
Th,228,90,0,0+,123,15,,,,,,,,,0.3,,Th228
Th,229,90,0,5/2+,62.8,6.0,,,93.6,,,,,,30.8,1.5,Th229
Th,230,90,0,0+,22.9,0.3,,,10.4,2.5,,,,,1.2e-3,,Th230
Th,232,90,0,0+,,,7.35,0.03,13.55,0.08,,,,,5.2e-5,4e-5,Th232
Th,233,90,0,,1330,50,,,,,,,,,15,2,Th233
Th,234,90,0,,1.8,0.5,,,,,,,,,1e-2,,Th234
Pa,230,91,0,,,,,,,,,,,,1500,250,Pa230
Pa,231,91,0,3/2-,,,200.2,2.3,10.8,0.7,,,,,0.024,2e-3,Pa231
Pa,232,91,0,2-,,,590,69,,,,,,,1505,28,Pa232
Pa,233,91,0,3/2-,,,39.5,1.1,15.9,3.2,,,,,0.1,,Pa233
Pa,234,91,0,,,,,,,,,,,,5000,,Pa234
Pa,234,91,1,,,,,,,,,,,,500,,Pa234m
U,229,92,0,1.5,,,98.8,0.8,14.02,0.22,,,,,582.6,1.1,U229
U,230,92,0,,,,,,,,,,,,25,10,U230
U,231,92,0,,,,,,,,,,,,400,300,U231
U,232,92,0,0+,,,74.9,1.6,13.3,2.2,,,,,76.8,4.8,U232
U,233,92,0,5/2+,,,45.7,0.7,12.4,0.3,,,,,530.3,1.2,U233
U,234,92,0,0+,,,102.5,1.3,19.4,1.0,,,,,0.067,1.4e-2,U234
U,235,92,0,7/2-,,,98.8,0.8,14.02,0.22,,,,,582.6,1.1,U235
U,236,92,0,0+,,,5.09,0.1,10.8,0.8,,,,,1.3e-3,,U236
U,237,92,0,1/2+,443,167,,,,,,,,,0.8,,U237
U,238,92,0,0+,,,2.682,0.019,9.075,0.015,1.3e-6,6e-7,,,11e-6,2e-6,U238
U,239,92,0,5/2+,22,5,,,,,,,,,14,3,U239
Np,234,93,0,,,,,,,,,,,,900,300,Np234
Np,235,93,0,5/2,150,2,,,,,,,,,,,Np235
Np,236,93,0,6-,142,,,,,,,,,,3007,90,Np236
Np,237,93,0,5/2+,186.9,6.2,,,,,,,,,2e-2,1e-3,Np237
Np,238,93,0,2,479,24,,,,,,,,,2088,30,Np238
Np,239,93,0,5/2,68,10,,,,,,,,,,,Np239
Pu,234,94,0,,,,,,,,,,,,397,,Pu234
Pu,236,94,0,,15.9,,,,,,,,,,170,35,Pu236
Pu,237,94,0,7/2,,,,,,,,,,,2455,295,Pu237
Pu,238,94,0,0+,,,506,16,21.8,1.8,,,,,17.9,0.4,Pu238
Pu,239,94,0,1/2+,,,269.3,2.9,7.94,0.36,,,,,748.1,2.0,Pu239
Pu,240,94,0,0+,,,289.5,1.4,1.73,0.10,,,,,0.056,0.03,Pu240
Pu,241,94,0,5/2+,,,362.1,5.1,8.9,0.8,,,,,1011.1,6.2,Pu241
Pu,242,94,0,0+,,,18.9,0.7,8.45,0.21,,,,,0.16,0.04,Pu242
Pu,243,94,0,7/2+,87,10,,,,,,,,,196,16,Pu243
Pu,244,94,0,0+,,,1.7,0.1,11.0,0.5,,,,,,,Pu244
Pu,245,94,0,,150,30,,,,,,,,,,,Pu245
Am,241,95,0,5/2-,,,720,20,15.3,1.3,,,,,3.20,0.09,Am241
Am,242,95,0,1+,330,50,,,,,,,,,2100,200,Am242
Am,242,95,1,5/1+,1290,300,,,,,,,,,6200,200,Am242m
Am,243,95,0,5/2-,,,87.7,5.4,8.92,0.65,,,,,8.13e-2,2.5e-3,Am243
Am,244,95,0,6,,,,,,,,,,,2300,300,Am244
Am,244,95,1,6+,,,,,,,,,,,1600,300,Am244m
Cm,242,96,0,0+,19.1,1.5,,,,,,,,,5,,Cm242
Cm,243,96,0,5/2+,,,139,10,,,794,23,,,655,20,Cm243
Cm,244,96,0,0+,,,15.3,1.2,8.39,1.86,,,,,1.04,0.2,Cm244
Cm,245,96,0,7/2+,,,369,17,,,2387,41,,,2018,37,Cm245
Cm,246,96,0,0+,,,1.22,0.16,11.1,0.2,,,,,0.14,0.05,Cm246
Cm,247,96,0,9/2-,,,57,10,,,,,,,83.4,4.4,Cm247
Cm,248,96,0,0+,,,2.63,0.26,7.65,0.40,,,,,0.37,0.05,Cm248
Cm,249,96,0,,1.6,0.8,,,,,,,,,,,Cm249
Bk,249,97,0,7/2+,,,746,40,,,,,,,2.5,,Bk249
Bk,250,97,0,2,350,,,,,,,,,,960,150,Bk250
Cf,249,98,0,9/2-,497,21,,,,,,,,,1642,33,Cf249
Cf,250,98,0,0+,2034,200,,,,,,,,,112,99,Cf250
Cf,251,98,0,1/2+,2850,150,,,,,7745,290,,,4895,250,Cf251
Cf,252,98,0,0+,20.3,1.5,,,,,,,,,32,4,Cf252
Cf,253,98,0,,17.6,1.8,,,,,,,,,1300,240,Cf253
Cf,254,98,0,,4.5,1.5,,,,,,,,,2,,Cf254
Es,253,99,0,,184,15,,,,,,,,,,,Es253
Es,254,99,0,7.0,28.3,2.5,,,,,1777,110,,,1749,110,Es254
Es,254,99,1,,,,,,,,,,,,1826,80,Es254m
Es,255,99,0,,55,10,,,,,,,,,,,Es255
Fm,254,100,0,,76,,,,,,,,,,,,Fm254
Fm,255,100,0,,26,3,,,,,3386,170,,,3360,170,Fm255
Fm,256,100,0,,45,,,,,,,,,,,,Fm256
Fm,257,100,0,,,,,,,,,,,,2950,160,Fm257
